timestamp;fitness;pickle_path;function_string;number of generations
20250703_151313;0.74683712;Results\genome_20250703_151313.pkl;n4 = max(x3, x1) | n5 = zero() | n6 = pow(x2, n5) | n7 = mult(n4, n4) | n8 = min(x3, x2) | n9 = round(n6) | n10 = mult(x1, n5) | n11 = round(x2) | n12 = sqrtxy(n11, n4) | n13 = min(n5, n4) | n14 = sum(n12, x2) | n15 = one() | n16 = inv(n13) | n17 = floor(n8) | n18 = sqrtxy(x0, x3) | n19 = const() | n20 = const() | n21 = aminus(n9, x0) | n22 = ceil(n11) | n23 = gt(n5, n8) | n24 = exp(n5, n14) | n25 = floor(n4) | n26 = pow(x2, n18) | n27 = floor(n5) | n28 = mult(n10, x2) | n29 = round(x3) | n30 = squared(x0) | n31 = aminus(n26, x0) | n32 = pow(n17, n12) | n33 = max(x1, n18) | Outputs: n17, n27, n16, n10, n32, n31, n8, n11, n5 |  | Unrolled output expression 0: | floor(min(x3, x2)) | Unrolled output expression 1: | floor(zero()) | Unrolled output expression 2: | inv(min(zero(), max(x3, x1))) | Unrolled output expression 3: | mult(x1, zero()) | Unrolled output expression 4: | pow(floor(min(x3, x2)), sqrtxy(round(x2), max(x3, x1))) | Unrolled output expression 5: | aminus(pow(x2, sqrtxy(x0, x3)), x0) | Unrolled output expression 6: | min(x3, x2) | Unrolled output expression 7: | round(x2) | Unrolled output expression 8: | zero() | ;9999
20250706_202847;0.723501358;Results\genome_20250706_202847.pkl;n4 = pow(x0, x0) | n5 = gt(n4, n4) | n6 = sqrt(x1) | n7 = aminus(n4, x3) | n8 = pow(n7, x0) | n9 = pow(n7, x1) | n10 = gt(x2, x0) | n11 = inv(n9) | n12 = zero() | n13 = sqrt(x3) | n14 = mult(x1, n7) | n15 = sum(n4, x2) | n16 = one() | n17 = floor(n8) | n18 = max(n13, n15) | n19 = gt(n7, n15) | n20 = pow(x3, n12) | n21 = abs(n11) | n22 = gt(n15, n8) | n23 = ceil(n16) | n24 = zero() | n25 = ceil(n8) | n26 = aminus(n21, x3) | n27 = sqrtxy(x3, n24) | n28 = sum(x2, n27) | n29 = mult(x1, x0) | n30 = sqrt(n29) | n31 = const() | n32 = min(x3, x3) | n33 = mult(n26, n19) | Outputs: n33, n27, n28, n29, n19, n9, n18, n22, n22 |  | Unrolled output expression 0: | mult(aminus(abs(inv(pow(aminus(pow(x0, x0), x3), x1))), x3), gt(aminus(pow(x0, x0), x3), sum(pow(x0, x0), x2))) | Unrolled output expression 1: | sqrtxy(x3, zero()) | Unrolled output expression 2: | sum(x2, sqrtxy(x3, zero())) | Unrolled output expression 3: | mult(x1, x0) | Unrolled output expression 4: | gt(aminus(pow(x0, x0), x3), sum(pow(x0, x0), x2)) | Unrolled output expression 5: | pow(aminus(pow(x0, x0), x3), x1) | Unrolled output expression 6: | max(sqrt(x3), sum(pow(x0, x0), x2)) | Unrolled output expression 7: | gt(sum(pow(x0, x0), x2), pow(aminus(pow(x0, x0), x3), x0)) | Unrolled output expression 8: | gt(sum(pow(x0, x0), x2), pow(aminus(pow(x0, x0), x3), x0)) | ;9999
20250706_210248;0.658587799;Results\genome_20250706_210248.pkl;n4 = max(x3, x3) | n5 = pow(x0, x3) | n6 = abs(x2) | n7 = abs(x0) | n8 = const() | n9 = min(n6, n7) | n10 = floor(n8) | n11 = aminus(x0, n6) | n12 = zero() | n13 = min(x0, n12) | n14 = max(n11, n8) | n15 = const() | n16 = one() | n17 = aminus(n5, n14) | n18 = abs(n8) | n19 = pow(n17, n6) | n20 = exp(n14, x3) | n21 = aminus(n4, n5) | n22 = ceil(x1) | n23 = mult(n18, n4) | n24 = sum(x2, n10) | n25 = mult(x1, x0) | n26 = gt(x3, n20) | n27 = mult(n14, x2) | n28 = exp(n25, n14) | n29 = round(n26) | n30 = gt(x0, x3) | n31 = const() | n32 = aminus(x3, n30) | n33 = min(n21, n7) | Outputs: n14, n32, n6, n18, n7, n19, n29, n26, n25 |  | Unrolled output expression 0: | max(aminus(x0, abs(x2)), const()) | Unrolled output expression 1: | aminus(x3, gt(x0, x3)) | Unrolled output expression 2: | abs(x2) | Unrolled output expression 3: | abs(const()) | Unrolled output expression 4: | abs(x0) | Unrolled output expression 5: | pow(aminus(pow(x0, x3), max(aminus(x0, abs(x2)), const())), abs(x2)) | Unrolled output expression 6: | round(gt(x3, exp(max(aminus(x0, abs(x2)), const()), x3))) | Unrolled output expression 7: | gt(x3, exp(max(aminus(x0, abs(x2)), const()), x3)) | Unrolled output expression 8: | mult(x1, x0) | ;9999
20250706_212933;0.710518646;Results\genome_20250706_212933.pkl;n4 = ceil(x2) | n5 = mult(n4, n4) | n6 = abs(x2) | n7 = mult(x1, x0) | n8 = sqrtxy(n7, x0) | n9 = max(n5, x3) | n10 = sum(n6, n7) | n11 = inv(n10) | n12 = pow(x1, n9) | n13 = gt(x3, x0) | n14 = abs(n8) | n15 = pow(n8, n10) | n16 = pow(n15, x0) | n17 = abs(x0) | n18 = max(n17, x2) | n19 = squared(n13) | n20 = pow(n17, n9) | n21 = const() | n22 = zero() | n23 = max(n22, n6) | n24 = exp(n23, n20) | n25 = sqrt(n19) | n26 = zero() | n27 = sqrtxy(x1, n13) | n28 = zero() | n29 = max(x3, n21) | n30 = round(n7) | n31 = ceil(x1) | n32 = sqrtxy(n8, n28) | n33 = floor(n4) | Outputs: n17, n14, n24, n30, n20, n6, n31, n23, n8 |  | Unrolled output expression 0: | abs(x0) | Unrolled output expression 1: | abs(sqrtxy(mult(x1, x0), x0)) | Unrolled output expression 2: | exp(max(zero(), abs(x2)), pow(abs(x0), max(mult(ceil(x2), ceil(x2)), x3))) | Unrolled output expression 3: | round(mult(x1, x0)) | Unrolled output expression 4: | pow(abs(x0), max(mult(ceil(x2), ceil(x2)), x3)) | Unrolled output expression 5: | abs(x2) | Unrolled output expression 6: | ceil(x1) | Unrolled output expression 7: | max(zero(), abs(x2)) | Unrolled output expression 8: | sqrtxy(mult(x1, x0), x0) | ;9999
20250706_221213;0.710518646;Results\genome_20250706_221213.pkl;n4 = mult(x1, x0) | n5 = round(n4) | n6 = zero() | n7 = sqrtxy(n6, x2) | n8 = sqrtxy(n5, x0) | n9 = round(n7) | n10 = squared(n4) | n11 = sqrtxy(x0, x2) | n12 = round(x3) | n13 = ceil(x2) | n14 = exp(x2, n4) | n15 = ceil(n13) | n16 = pow(x1, x2) | n17 = max(n5, x1) | n18 = exp(n9, n11) | n19 = squared(x1) | n20 = abs(x2) | n21 = const() | n22 = zero() | n23 = sum(n17, n8) | n24 = sqrtxy(x0, n17) | n25 = min(x0, n11) | n26 = sqrt(n6) | n27 = min(x3, n7) | n28 = mult(n15, n13) | n29 = sqrt(n22) | n30 = abs(x3) | n31 = mult(n13, n21) | n32 = round(x3) | n33 = inv(x3) | Outputs: n26, n27, n18, n5, n11, n24, n28, n32, n4 |  | Unrolled output expression 0: | sqrt(zero()) | Unrolled output expression 1: | min(x3, sqrtxy(zero(), x2)) | Unrolled output expression 2: | exp(round(sqrtxy(zero(), x2)), sqrtxy(x0, x2)) | Unrolled output expression 3: | round(mult(x1, x0)) | Unrolled output expression 4: | sqrtxy(x0, x2) | Unrolled output expression 5: | sqrtxy(x0, max(round(mult(x1, x0)), x1)) | Unrolled output expression 6: | mult(ceil(ceil(x2)), ceil(x2)) | Unrolled output expression 7: | round(x3) | Unrolled output expression 8: | mult(x1, x0) | ;9999
20250706_225322;0.781923561;Results\genome_20250706_225322.pkl;n4 = pow(x0, x0) | n5 = sum(x3, n4) | n6 = sum(x0, x2) | n7 = acos(x3) | n8 = min(x3, n7) | n9 = sqrt(x1) | n10 = pow(n9, n6) | n11 = ceil(n6) | n12 = aminus(n4, n9) | n13 = sqrt(x3) | n14 = pow(n10, n11) | n15 = floor(x3) | n16 = round(n5) | n17 = sin(x2) | n18 = asin(x3) | n19 = acos(n15) | n20 = exp(n14, n9) | n21 = max(x0, n17) | n22 = aminus(n9, n8) | n23 = min(x1, n20) | n24 = max(n9, n11) | n25 = sum(n17, n4) | n26 = gt(n19, x3) | n27 = pow(n14, n16) | n28 = zero() | n29 = floor(x0) | n30 = floor(n29) | n31 = gt(n21, n12) | n32 = abs(x0) | n33 = max(x1, n27) | Outputs: n8, n7, n23, n19, n14, n33, n31, n14, n17 |  | Unrolled output expression 0: | min(x3, acos(x3)) | Unrolled output expression 1: | acos(x3) | Unrolled output expression 2: | min(x1, exp(pow(pow(sqrt(x1), sum(x0, x2)), ceil(sum(x0, x2))), sqrt(x1))) | Unrolled output expression 3: | acos(floor(x3)) | Unrolled output expression 4: | pow(pow(sqrt(x1), sum(x0, x2)), ceil(sum(x0, x2))) | Unrolled output expression 5: | max(x1, pow(pow(pow(sqrt(x1), sum(x0, x2)), ceil(sum(x0, x2))), round(sum(x3, pow(x0, x0))))) | Unrolled output expression 6: | gt(max(x0, sin(x2)), aminus(pow(x0, x0), sqrt(x1))) | Unrolled output expression 7: | pow(pow(sqrt(x1), sum(x0, x2)), ceil(sum(x0, x2))) | Unrolled output expression 8: | sin(x2) | ;9999
20250706_233737;0.755958137;Results\genome_20250706_233737.pkl;n4 = sum(x3, x0) | n5 = ceil(n4) | n6 = sum(n4, n5) | n7 = atan(n6) | n8 = exp(x2, x2) | n9 = zero() | n10 = one() | n11 = aminus(x0, n7) | n12 = acos(n8) | n13 = const() | n14 = atan(n8) | n15 = floor(x2) | n16 = sin(n6) | n17 = inv(n15) | n18 = pow(n12, n5) | n19 = sqrt(n12) | n20 = atan(n4) | n21 = floor(n11) | n22 = one() | n23 = acos(n18) | n24 = sum(x3, x2) | n25 = asin(x2) | n26 = squared(x2) | n27 = pow(n22, x2) | n28 = max(n11, x3) | n29 = max(n17, x0) | n30 = max(n23, n10) | n31 = squared(n18) | n32 = const() | n33 = sin(n30) | Outputs: n32, n16, n6, n31, n29, n19, n7, n12, n6 |  | Unrolled output expression 0: | const() | Unrolled output expression 1: | sin(sum(sum(x3, x0), ceil(sum(x3, x0)))) | Unrolled output expression 2: | sum(sum(x3, x0), ceil(sum(x3, x0))) | Unrolled output expression 3: | squared(pow(acos(exp(x2, x2)), ceil(sum(x3, x0)))) | Unrolled output expression 4: | max(inv(floor(x2)), x0) | Unrolled output expression 5: | sqrt(acos(exp(x2, x2))) | Unrolled output expression 6: | atan(sum(sum(x3, x0), ceil(sum(x3, x0)))) | Unrolled output expression 7: | acos(exp(x2, x2)) | Unrolled output expression 8: | sum(sum(x3, x0), ceil(sum(x3, x0))) | ;9999
20250707_003038,0.7013976286679473,Results\genome_20250707_003038.pkl,"n4 = min(x0, x0) | n5 = exp(x1, x0) | n6 = sum(n5, n5) | n7 = exp(n6, x2) | n8 = aminus(n6, n4) | n9 = exp(n6, n8) | n10 = sqrt(x2) | n11 = zero() | n12 = safe_div(x1, n10) | n13 = pow(n9, x3) | n14 = max(x2, x3) | n15 = aminus(n8, n14) | n16 = sum(x2, n6) | n17 = sqrt(n9) | n18 = sum(x2, n12) | n19 = gt(n11, x3) | n20 = zero() | n21 = sqrt(n4) | n22 = safe_div(n4, n6) | n23 = mult(n19, n10) | n24 = const() | n25 = squared(x3) | n26 = max(x0, x0) | n27 = safe_div(n16, x0) | n28 = inv(n14) | n29 = max(n26, x3) | n30 = pow(n10, n5) | n31 = zero() | n32 = gt(n12, n16) | n33 = safe_div(x1, n18) | Outputs: n33, n23, n30, n19, n32, n13, n28, n33, n14 |  | Unrolled output expression 0: | safe_div(x1, sum(x2, safe_div(x1, sqrt(x2)))) | Unrolled output expression 1: | mult(gt(zero(), x3), sqrt(x2)) | Unrolled output expression 2: | pow(sqrt(x2), exp(x1, x0)) | Unrolled output expression 3: | gt(zero(), x3) | Unrolled output expression 4: | gt(safe_div(x1, sqrt(x2)), sum(x2, sum(exp(x1, x0), exp(x1, x0)))) | Unrolled output expression 5: | pow(exp(sum(exp(x1, x0), exp(x1, x0)), aminus(sum(exp(x1, x0), exp(x1, x0)), min(x0, x0))), x3) | Unrolled output expression 6: | inv(max(x2, x3)) | Unrolled output expression 7: | safe_div(x1, sum(x2, safe_div(x1, sqrt(x2)))) | Unrolled output expression 8: | max(x2, x3) | ",9999
20250707_103929,0.7013976286679473,Results\genome_20250707_103929.pkl,"n4 = min(x3, x1) | n5 = abs(x2) | n6 = min(x0, n4) | n7 = mult(n4, x0) | n8 = sum(n7, x2) | n9 = min(x2, x0) | n10 = abs(n7) | n11 = exp(n5, n4) | n12 = min(n6, n9) | n13 = safe_div(x1, x2) | n14 = squared(n12) | n15 = sqrt(x0) | n16 = zero() | n17 = aminus(x0, n8) | n18 = gt(n6, n16) | n19 = aminus(x2, n11) | n20 = mult(x2, n9) | n21 = sqrtxy(n12, n17) | n22 = min(n20, n5) | n23 = sqrt(n20) | n24 = sqrt(n12) | n25 = abs(n7) | n26 = pow(n22, n12) | n27 = exp(n12, n13) | n28 = sqrt(n6) | n29 = aminus(x1, x2) | n30 = mult(x0, n16) | n31 = max(n19, n19) | n32 = sqrtxy(n20, x3) | n33 = squared(n10) | Outputs: n30, n5, n19, n11, n24, n26, n32, n18, n7 |  | Unrolled output expression 0: | mult(x0, zero()) | Unrolled output expression 1: | abs(x2) | Unrolled output expression 2: | aminus(x2, exp(abs(x2), min(x3, x1))) | Unrolled output expression 3: | exp(abs(x2), min(x3, x1)) | Unrolled output expression 4: | sqrt(min(min(x0, min(x3, x1)), min(x2, x0))) | Unrolled output expression 5: | pow(min(mult(x2, min(x2, x0)), abs(x2)), min(min(x0, min(x3, x1)), min(x2, x0))) | Unrolled output expression 6: | sqrtxy(mult(x2, min(x2, x0)), x3) | Unrolled output expression 7: | gt(min(x0, min(x3, x1)), zero()) | Unrolled output expression 8: | mult(min(x3, x1), x0) | ",9999
20250707_145521,0.9593846153846154,Results\genome_20250707_145521.pkl,"n22 = gt(x7, x20) | n23 = min(n22, x4) | n24 = zero() | n25 = sum(n24, n24) | n26 = pow(n22, x4) | n27 = one() | n28 = sqrtxy(x9, n25) | n29 = const() | n30 = exp(n29, x21) | n31 = one() | n32 = one() | n33 = abs(x4) | n34 = const() | n35 = max(n24, x7) | n36 = one() | n37 = min(n27, n22) | n38 = exp(n29, x15) | n39 = max(n24, n29) | n40 = aminus(n39, n23) | n41 = sum(n34, n40) | n42 = sqrtxy(x11, n32) | n43 = zero() | n44 = mult(n22, n22) | n45 = zero() | n46 = sqrtxy(n33, x2) | n47 = abs(n27) | n48 = gt(n36, n26) | n49 = gt(n27, n41) | n50 = aminus(n40, n30) | n51 = pow(x14, n39) | Outputs: n26, n33 |  | Unrolled output expression 0: | pow(gt(x7, x20), x4) | Unrolled output expression 1: | abs(x4) | ",999
20250707_150733,0.9033846153846153,Results\genome_20250707_150733.pkl,"n22 = aminus(x6, x3) | n23 = gt(n22, n22) | n24 = squared(n22) | n25 = mult(x14, n22) | n26 = abs(x21) | n27 = safe_div(n24, n23) | n28 = max(n22, x13) | n29 = sum(n24, n23) | n30 = sqrtxy(n22, n28) | n31 = max(x1, n27) | n32 = pow(x2, x0) | n33 = mult(x21, x4) | n34 = zero() | n35 = sum(n33, x6) | n36 = mult(x11, n22) | n37 = sum(n23, n32) | n38 = sqrtxy(n35, n30) | n39 = const() | n40 = sqrtxy(n31, x12) | n41 = mult(x6, n36) | n42 = abs(x18) | n43 = sqrt(n37) | n44 = mult(n22, n32) | n45 = pow(n22, n26) | n46 = exp(n23, n44) | n47 = sqrtxy(n35, n23) | n48 = one() | n49 = zero() | n50 = min(n39, x15) | n51 = aminus(n25, n48) | Outputs: n38 |  | Unrolled output expression 0: | sqrtxy(sum(mult(x21, x4), x6), sqrtxy(aminus(x6, x3), max(aminus(x6, x3), x13))) | ",999
